Comment,Toxic,Severe Toxic,Obscene,Threat,Insult,Identity Hate
"Btw guys he robbed a pregnant women at gun point and had drug charges, He's not an ""Angel''",4.3,0.2,1.23,0.2,1.71,0.49
"I would've knocked that cops lights out. Cop or not. Caucasian or not. This is absolutely unacceptable and disturbing. God this pisses me off. 😠...

Rest in peace brother man. You changed the world. ❤",0.54,0.0,0.09,0.0,0.15,0.02
"And just like Eric Garner's murderer, none of those policemen will be convicted.",5.28,0.3,1.61,0.29,2.16,0.68
"I can't imagine just going out living my day to day life trying to make it in this world, and suddenly my life is taken away by the very people I thought were supposed to protect me.",2.38,0.06,0.59,0.06,0.85,0.18
"All I hear is ""white"" this or ""black"" this, see how the government tries to literally turns us against each other?",1.01,0.01,0.2,0.01,0.32,0.04
I'm almost in tears,4.63,0.23,1.38,0.23,1.88,0.57
✊🏿✊🏾✊🏽✊🏼✊🏻,8.66,0.75,3.0,0.76,3.78,1.46
If not did the family of George Floyd sue those police people and I’m young and don’t get any of this so could u maybe explain in the comments of this comment.,0.78,0.01,0.14,0.01,0.23,0.03
"What was the point of kneeling on his neck? 
The man is already cuffed and on the floor",0.56,0.0,0.1,0.0,0.16,0.02
i cant wait to laugh at these cops in hell and say whats up to geroge floyd in heaven,7.84,0.04,1.28,0.03,1.2,0.13
When a so-called officer out right murders another human being demonic forces are at work. This devil could not control himself. How many others has he murdered?,0.84,0.01,0.16,0.01,0.23,0.03
OMG WHAT IF HE WAS WHITE! NONE OF THIS WOULD HAVE HAPPENED. NO RIOTING NOT A GD THING. STOP MAKING IT ABOUT RACE AND JUST VIEW IT AS POLICE BRUTALITY PEOPLE.,2.28,0.05,0.55,0.05,0.8,0.16
Omg 💚💚💚😥😥😥😥,5.08,0.25,1.54,0.27,2.05,0.63
And police say: ”we protect and serve” yeah right,6.28,0.43,2.04,0.43,2.71,0.94
I literally cried while watching this(I still am crying),1.65,0.03,0.39,0.03,0.58,0.11
"Hey I have a few suggestions! Don't try to pass off a counterfeit $20 bill. When the store owners approach you and ask for the cigarettes back, be humble and admit you've been caught and hand them over. Don't smoke, it's bad for your heart. And for that matter, don't take cocaine and meth your whole life, it's really bad for your heart. And don't take 3x the lethal dose of fentanyl. All of this will ensure you have a massive heart attack if you ever become excited. In fact he was probably already having a heart attack when the cops got there, which explains why he was sitting in his car so long and had to sit at the side of the road after he was removed from the car. Also, don't drive while under the influence of alcohol and drugs, you will probably end up killing someone. Finally, if the cops arrest you, don't resist arrest. All the bad choices you made in your life have led you to this point. Take responsibility for those choices.",1.14,0.01,0.24,0.01,0.36,0.05
He still moved his shoulders after the officer took his knee of him I’ve a report that Gorege floyd is not dead. His coffin was shorter than he was. He died in the hospital easy to pull of the stunt there with no independent witnesses there to verify or discredit the mainstream version of events. The officer was not blocking of his airway and it would explain why the other officers didn’t stop the other officer cos they knew it was all staged. After two failed coup attempts at removing Donald Trump with the Russia fiasco and then Ukraine and then the plandimac  virus all fail to remove Trump now their trying a Race war wake up people,0.11,0.0,0.01,0.0,0.02,0.0
This is why humanity should end,3.27,0.09,0.8,0.09,1.1,0.24
Imagine how the actual people who called the police feel about his death....,1.36,0.02,0.29,0.02,0.44,0.07
These arent “heroes” that I thought when I was a child,4.02,0.15,1.09,0.15,1.47,0.39
Why was he even holding George down with his knee George was already in custody and on the ground unable to move,1.37,0.02,0.3,0.02,0.47,0.08
"Where is the 8 minute and 46 second video ?

Why haven't we seen that video ?",2.29,0.05,0.54,0.05,0.77,0.15
When those policemen initially put Floyd in handcuffs they should have put him into the police car and taken him to the police station where they should've then put him into a cell and begin the process of booking an arrest and giving Floyd his due process. Just like they did for Ted Bundy and all the other much horrible people than Floyd. Once an individual is placed in handcuffs any life or death threat to the police is eliminated. So the fact that some people think Floyd was crying wolf is irrelevant because by then the police were already recklessly detaining him.  I don't know when and why police started to recklessly detain people for crimes who then end up dead at the hands of the pigs but it has got to end.,2.32,0.01,0.42,0.0,0.4,0.03
"""MAMA"" he was crying for his mom those police were  just letting him do what he did and he just let him died",9.14,0.16,2.5,0.14,2.23,0.48
That is so sad his life was already gone I wish you wouldn't the tricked people and seeing that he had real money when he didn't he cheated the system but no way to die for the cop had no right God bless,3.84,0.08,0.95,0.09,1.08,0.25
Literally choked a handcuffed/unarmed man...RIP,5.93,0.34,1.85,0.36,2.45,0.82
i cant even imagine what was going through his mind in that moment,0.55,0.0,0.1,0.0,0.16,0.02
Oof this is age restricted I wanted to see it and how awful those cops were to a innocent man,2.24,0.05,0.56,0.05,0.81,0.16
When he said i can't breathe that touched my heart...RIP GEORGE FLOYD...,5.93,0.36,1.86,0.36,2.41,0.81
"this was very sad, though i don't like how we immortalized George Floyed either.",4.3,0.05,0.78,0.05,1.0,0.16
This is so devastating!  So so sad. 🙏🏿🙏🏿🙏🏿,2.79,0.07,0.66,0.07,0.93,0.19
I can't stop crying. 😭😭,16.37,1.62,5.51,1.57,6.53,2.65
"George : i cant breath
Police man : i cant see
✊🏻✊🏼✊🏽✊🏾✊🏿💔",0.5,0.0,0.08,0.0,0.14,0.01
"Wow on Memorial Day,
I didn’t know",2.16,0.04,0.51,0.04,0.75,0.15
Meu Deus 😭😭!! quanta maldade💔,7.32,0.53,2.43,0.54,3.09,1.11
The most painful death😥😥😥😥 ...   May God's mercy and favor 🙏🙏 be unto the dead's soul. RIP,1.05,0.01,0.2,0.01,0.32,0.04
"I can't stand watching George's death video, it makes feel so angry and sad especially when he starts calling his mom 😪😭😢😡",3.46,0.14,1.0,0.13,1.39,0.36
2:23 what did floyd drop?,6.15,0.38,1.94,0.38,2.58,0.85
"it Didn't show in the vid but floyd also said ""mommy help me i cant breath"" no joke",1.04,0.01,0.22,0.01,0.34,0.05
Kids that where bullied at young age became police abuse there power just like this situation,1.32,0.02,0.28,0.02,0.43,0.07
I actually cried 😥😭,8.0,0.66,2.75,0.66,3.59,1.38
Rip 😭😭😭😭,6.17,0.39,1.97,0.4,2.59,0.88
The fact that the officers don’t even care about his state of heath is absolutely disgraceful,1.01,0.01,0.2,0.01,0.32,0.05
💔,8.66,0.75,3.0,0.76,3.78,1.46
It haunts me that he died begging for his life,8.41,0.36,2.49,0.36,2.76,0.89
We are soooo proud to be a back,3.57,0.13,0.96,0.13,1.33,0.34
He said please even as the sad excuse for a human being was murdering him. THAT got me....,22.78,0.07,3.81,0.05,2.74,0.21
Dose it have swearing,3.51,0.13,0.94,0.12,1.31,0.34
No my child she's an angel😭😢,8.38,0.65,2.82,0.66,3.53,1.33
Woooow Man😠😢,8.66,0.75,3.0,0.76,3.78,1.46
Ohhh my God,6.63,0.44,2.14,0.45,2.82,0.97
Words can never express the anger.!!😞😞💔,1.97,0.04,0.47,0.04,0.69,0.14
Dats just so sad 😥,3.15,0.1,0.83,0.1,1.19,0.29
I am so thankful that my city actually has peaceful protests where the bad apples don't just ruin it all.,2.52,0.07,0.65,0.07,0.93,0.2
😭😭😭😭😭😭😭😭😭,8.66,0.75,3.0,0.76,3.78,1.46
😭😭😭😭😭😭😭😭😭😭😭😭😭😭,8.66,0.75,3.0,0.76,3.78,1.46
Look at the feet sticking out at 4:02 of the video. They're shaking violently. Stroke? Taser?,1.78,0.03,0.38,0.03,0.56,0.09
WHY DOES THE  COPS CAM FOOTAGE SHOW 5-26-20 DAY AFTER GF DIED???? Anyone can see it for themselves!,2.33,0.05,0.57,0.05,0.77,0.15
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,8.66,0.75,3.0,0.76,3.78,1.46
Wow,3.75,0.13,1.02,0.14,1.41,0.36
Made me crying,6.86,0.25,1.87,0.26,2.39,0.65
🤣🤣🤣🤣,8.66,0.75,3.0,0.76,3.78,1.46
Pls 😢,5.69,0.31,1.75,0.33,2.32,0.74
I wish I had a time masheine,6.51,0.44,2.12,0.45,2.75,1.0
George was no Saint .but he didnt deserve a death sentence geez,4.25,0.12,1.1,0.12,1.39,0.34
Soooooo sad AND Soooooo senseless!😢😢,8.82,0.76,3.05,0.78,3.8,1.48
If you can’t breath you can’t talk and I know that because I’ve been chocked out before so he can breath and he had underlining condisions and had a heart attack,3.73,0.12,0.96,0.13,1.31,0.33
Oh hes not even moving I dont even need to touch him for the next 3 whole minutes that my knee will be pressing on his neck.while unconcious.,86.91,0.37,42.87,0.14,24.15,0.86
😥😥😥,8.66,0.75,3.0,0.76,3.78,1.46
Haha,5.07,0.24,1.5,0.25,2.0,0.59
Why? 😞,6.7,0.43,2.15,0.45,2.76,0.94
Do they edit body cam videos?? Or is it released like Raw??,1.4,0.02,0.3,0.02,0.46,0.07
I'm pretty sure he's saying I can't read,7.54,0.14,1.61,0.13,1.94,0.37
At 2:20 you can see him drop a baggie of meth or some other substance just as he sits down behind him.,2.97,0.09,0.77,0.09,1.1,0.25
😪😪😪😪may he rest in peace r.i.p,0.78,0.01,0.15,0.01,0.24,0.03
Bud moment kekekek,6.35,0.41,2.02,0.41,2.68,0.91
"What a


Interesting day in America",4.09,0.17,1.16,0.17,1.61,0.45
Democracy is dying in darkness..,1.75,0.03,0.4,0.03,0.59,0.1
"I'll be very happy when these court cases end and the 4 officers are behind bars where they belong.

JUSTICE for George Floyd and justice for his family...",0.44,0.0,0.07,0.0,0.1,0.01
His name is Fentanyl Floyd,1.6,0.02,0.33,0.02,0.5,0.08
"Nice touch, WP, with the eerie music accompanying the propaganda. Very effective.",2.87,0.09,0.78,0.09,1.11,0.28
That x cop will get his,2.77,0.07,0.69,0.07,0.98,0.22
Police that hurt him can go to hell they have no mercy isinusumpa ko yan,25.22,0.23,4.95,0.18,4.42,0.57
ALL LIVES MATTER AT ALL TIMES,2.87,0.08,0.76,0.09,1.08,0.24
Frins,8.66,0.75,3.0,0.76,3.78,1.46
RIP,4.86,0.23,1.45,0.24,1.95,0.59
eye for an eye,4.83,0.23,1.43,0.23,1.91,0.57
"THIS WORLD IS IN GODS HAND AND SOON HE SHALL REVEAL HIMSELF AND JUDGE EVERYONE ACCORDING TO THEIR SINS AND REWARD THOSE WHO IS OBEDIENT. 
SUPPORT IT OR EXPORT IT!",2.35,0.06,0.57,0.05,0.82,0.17
What a tragedy! A senseless death at the hands of those we rely on to protect us!,4.01,0.18,1.18,0.17,1.6,0.44
listening to this,2.45,0.06,0.6,0.06,0.87,0.18
we need to make an example out of these men involved in a way that we will never forget.,16.46,0.14,3.75,0.12,2.99,0.43
"Law enforcement officers do hear the statement very often. 
I don’t believe skin color is the issue. It’s behavior that leads to these situations.",7.6,0.06,1.71,0.05,1.44,0.21
2:24 you clearly see him ditch a white baggy. Why did narrator leave out this important detail?,9.46,0.89,3.31,0.83,4.17,1.59
What person would ever do that to another person?,3.16,0.1,0.83,0.1,1.16,0.28
Where were the EMTs!? Those are cops that pick him up and put him in the ambulance.,32.36,0.38,7.23,0.31,6.45,0.94
This make me angry..now I'll be hater cop's,1.83,0.03,0.42,0.03,0.61,0.11
All cops were good. A lot still are. Some are mean. But a FEW cops are Devils. Letting someone die even though they heard him saying he can’t breathe. R.I.P George Floyd ✌🏾✊🏾❤️,29.79,0.14,5.6,0.09,4.59,0.33
Groge thought the police a lesson,2.43,0.05,0.57,0.06,0.83,0.17
Lane,5.5,0.29,1.68,0.31,2.22,0.7
"It's time to take down the cops everywhere, they are not to be trusted.
I'm sad,sad ,sad.",0.8,0.01,0.16,0.01,0.26,0.03
Remember that your kids always pay for your wrong deeds,92.06,3.21,63.83,1.5,41.59,4.46
Why tho,5.11,0.26,1.53,0.26,2.04,0.61
"No one notices how not one paramedic is around?!?! 
Two men wearing a sheriff uniform came out of the back of the ambulance.",34.39,0.37,8.17,0.28,6.12,0.85
Why he has been arrested for?,3.68,0.13,0.99,0.13,1.38,0.35
"Wow.... so tragic ,the law will take it's course",1.31,0.02,0.27,0.02,0.39,0.06
a very unfortunate situation indeed,5.2,0.28,1.6,0.27,2.15,0.65
"It certainly looks like Mr Floyd was giving the Officers a hard time resisting,  perhaps if he had just gotten into the vehicle this incident would not have happened.",1.06,0.01,0.22,0.01,0.34,0.05
if Floyd wasn't doing drugs then at 2:23 in the video you clearly see a baggie filled with a white substance fall from floyds pocket to the ground,10.47,0.09,1.86,0.08,2.16,0.3
The time on the camera suggests it took the ambulance 5 minutes... why lie?,0.8,0.01,0.16,0.01,0.25,0.03
How dare they......😭😭😭😭😢😢🤧,13.15,0.94,4.16,0.93,4.91,1.79
"I ""Liked"" this video, but only because of the quality of the video and the breakdown, I think it was very well done. 

I believe that the ""dislikes"" are people voicing their disgust at the situation. I agree.",2.47,0.06,0.63,0.06,0.89,0.18
Yeah this looks staged.,5.33,0.28,1.63,0.28,2.15,0.64
Απίστευτος φόνος.. λυπάμαι..,8.66,0.75,3.0,0.76,3.78,1.46
Oh My Gosh Whats The Point Your Calling A Ambulance And Your Hurting Him,98.44,7.3,87.49,2.26,72.17,7.48
why can't anyone have a video before he was put down to the ground ?,23.77,0.41,6.13,0.35,5.34,1.03
Why didn’t the EMS do a diagnostic check on Floyd when they came to the scene they treated him very harshly to get him on that ambulance didn’t anybody notice that also?  They should have checked him before taking him on that ambulance and maybe then he would have survived🇺🇸,7.88,0.11,1.74,0.09,1.85,0.3
"may I ask , why he get arrested by the police ?",1.31,0.01,0.25,0.01,0.37,0.06
"George floyd  didn't  do any 
Thing.",1.86,0.03,0.42,0.03,0.63,0.11
why is that lady just standing there taking a video.,34.29,0.4,7.17,0.28,6.34,0.72
it’s like some ppl have no brain he is clearly handcuffed yet you put your knee on his neck,74.01,1.08,28.8,0.51,23.22,1.83
Who is George Floyd,21.93,0.97,6.04,0.8,7.04,1.69
என்ன ஒரு கொடுமையான. மிருகச் செயல்.இதை விடக்கூடாது.இதைச் செய்த மிருகங்களை மக்கள் முன்னிலையில் தூக்கில் போடனும்.,8.66,0.75,3.0,0.76,3.78,1.46
all lives matter,3.63,0.13,1.01,0.14,1.41,0.36
I have no words.,5.12,0.28,1.59,0.28,2.15,0.71
"Dear Washington Post,
  I just love how you emphasize the color of the officer and victim to cause more racial tension in the US so you have more crap to write about for ratings and views to make money off of, ""A Black man killed by a White officer"" but yet the video of the Dallas store owner being beaten damn near to death you stated as ""Dallas Store owner assaulted by rioters"" why didnt you state it as their ethnicities as shown in the video like you did in Floyd's video???, why not ""White Dallas business owner beaten almost to death by Black rioters""? Wich you can clearly see in that video.... I'll tell you why!, Because history has proven that Caucasians will not root and loot over this kind of thing when Black ethnicities will...you simply stated it as a race issue in Floyd's death in Hope's of rioting and uproar like other media circuses did aswell hoping to televise and cover the riots to get ratings and make money! ",1.34,0.01,0.26,0.01,0.37,0.05
"the fact i had a dream on may 24th about something happening the next day and it was also my birthday. I re watched this over and over reliving my dream about this happening and not wanting to believe a cop would do this. My brother wants to become a police officer and watching this video made me rethink about his choice. I walked up to my brother and bent down and asked him what kind of cop he was gonna be and his response made me cry. he told me he was gonna help those in need and make sure everyone is safe, he told me that he was gonna protect his family and friends and he was gonna help anyone who needed it. to this day i am very unhappy with the police force and how in my city 57 ETF officers quit because of 2 of the ETF members pushed an old man to the ground and were fired for almost killing the man. those 52 ETF members quit only because the 'action' of the captain was 'unfair'",8.74,0.01,1.43,0.0,0.99,0.03
🙄well damn🙄 not all cops are bad!!,5.85,0.33,1.8,0.34,2.4,0.77
How could he speak so loud if he couldn't breathe. What was that thing he dropped and the first cop picked up off the pavement?,0.8,0.01,0.15,0.01,0.24,0.03
Absolutely ridiculous,4.43,0.19,1.28,0.2,1.73,0.49
This man was murdered.,2.87,0.08,0.73,0.08,1.03,0.23
I dont know if anyone remembers the young ladies recorded video when it was first played on YouTube. It was realtime and not edited. George Floyd was moving still when they layed the stretcher down on the ground then he went limp. The time lasp does not drive with the stretcher on the ground espeacilly if George Floyd was still moving? Why would they call paramedics for a conscious person? Just wanted to know if anyone else saw the unedited video by the young lady. Why has it been removed from you tube? Every video on YouTube now of George Floyd has been edited cut and pasted. Weird? Was it scripted? False Flag? Why was George Floyd's autopsy done by the same person who did JFKs autopsy? Dr. Michael Baden is 86 yr old. Isnt there any other pathologist i just figure the guy would be retired chilling and relaxing. Why him? How did they know it was going to be a high profile case? Was it planned before hand? It doesnt make sense. To much missing pieces of the puzzle. Hmmmm?,64.76,0.02,17.61,0.0,6.84,0.04
"SA;DJEFJDKFJLDGKASDJALKSFJSAKFKSLDFJSDKLGJDFKLJGSFJAIFC,UJH3UIRTHURE8GEIUGHEROTGEOIRU",7.38,0.55,2.48,0.56,3.2,1.15
What’s up with that red on the trash can and a 6 on it?? Weird but that’s just me.,3.63,0.14,1.01,0.14,1.39,0.36
What dont pepole dont understand that he cant breath,5.17,0.27,1.58,0.27,2.09,0.61
They shouldn't even wear a badge if they restrain him like that especially with him saying please I can't breathe man,1.64,0.03,0.36,0.03,0.55,0.09
Karma for Mr. Floyd.,2.37,0.06,0.58,0.06,0.84,0.18
Vergonha de ser um ser humano,2.41,0.06,0.61,0.06,0.88,0.18
"RIP GF , but they shouldnt have been fired tho they should have been arrested .",1.31,0.02,0.29,0.02,0.44,0.07
I’m no killer but this will f**king push Me!!!!!!,11.35,0.69,3.69,0.68,3.94,1.44
I bet they would have even left the dead man on the floor like that if no one was filming,0.75,0.01,0.14,0.01,0.23,0.03
Don’t make us have to start taking the world into our own hands,15.23,0.28,3.5,0.22,3.62,0.62
So looks like martin luther king dying to stop this wasnt enough...,2.73,0.07,0.68,0.07,0.98,0.21
Now the Cops would see where their arrogance took them to.,2.75,0.08,0.69,0.07,0.99,0.21
Ugh I can't believe this really happened 😩😩,3.23,0.11,0.84,0.1,1.19,0.28
What I herd and from what I already saw ... they pulled right up to his car and pull him out near instant he stands right up and moves out to the sidewalk and manages to walk all the way over to the police cruiser across the street.then he pulled his bullshit card .. they said they opened the door and tased him ... it ultimately justified his staggering... but hes just doing his bullshit.... when you tase him the instant you opened his door it pardoned his bullshit... He never ..... laying there hes not putting his knees underneath him or even squirming honestly he looked like he was being good mostly and he passed out and you couldn't let up.,25.57,0.01,2.88,0.0,2.18,0.02
i,9.06,0.82,3.21,0.83,4.02,1.59
"For the people saying that you can't talk and breath at the same time hold you breath and try to say something I bet you where able to talk right
When someone is choking they are able to tell you right even though they can't breath",1.37,0.02,0.29,0.02,0.43,0.07
I'm paralyzed and was arrested by two cops one with knee in the same spot my back was broken and me shouting in pain and left handcuffed facing the ground bleeding from a dog attack for almost 10 minutes. Although no racist words were said am I still a victim of racism and if so can I sue the county/state for it?,0.81,0.01,0.17,0.01,0.23,0.03
"Like Nelson Mandela did, we should be reaching out to the police, asking them to join us in a peaceful future. Not demonizing and defunding them.",5.11,0.29,1.6,0.27,2.11,0.63
"The fact he can keep shouting he can't breathe and yelling to me suggests he can breath?? Just an opinion not looked at, Its just you need a clear airway to do that otherwise it would have been choked inconceivable gurgling.",3.75,0.09,0.89,0.09,1.2,0.27
ACAB is all i have to say,4.01,0.16,1.11,0.16,1.53,0.42
All lives matter,3.63,0.13,1.01,0.14,1.41,0.36
So sad when he begging for his life and wants to breathe how cruel can you be ugh. You really had to have a crowd tell you to stop and give you a lecture on him not breathing. You say I know if you know don’t keep killing him. Thanks for the ppl who recorded it bc they will get the punishment they should deserve. If there wasn’t videos of this they probably be working still and get away with it.,1.68,0.0,0.21,0.0,0.31,0.02
Stop police violence!,3.52,0.12,0.97,0.13,1.33,0.34
"""The white man has an evil heart and a good mind""",1.66,0.03,0.38,0.03,0.57,0.1
"Praying that the Holy Spirit touches our hearts through this and bring us together. This was the work of Satan! We are not each other’s enemy! The real enemy is Satan and how he manipulates the sin in our life. Jesus died for everyone to have the chance to be saved! Please, do not take vengeance. God is a just God and He sees everything. If we don’t repent, we have to answer for what we have done. Stand together in love in Jesus, leave the rest to God. Pray for those like this cop because there’s something deeper and it’s an issue of the heart. Pray for change in this world and keep it peaceful. Don’t give them a reason to harm you, please. 💔 Stand up in peace and love, leave the rest to God. God bless you all, I really hope and pray that hearts are changed and come to salvation in Jesus through this. That’s what we need is to love like Jesus and it starts within each of us first, but, we have to be willing to allow the Holy Spirit to work in our hearts by accepting Jesus and repenting ❤️",2.21,0.0,0.28,0.0,0.26,0.01
I am black bad feelings,8.36,0.72,2.87,0.71,3.63,1.4
But like the people could help him,1.24,0.01,0.24,0.01,0.37,0.05
kuukerin nelli teki lasikukon,8.66,0.75,3.0,0.76,3.78,1.46
"Hello from Germany! 
Sorry for my bad english! 
Can someone help me please? 
I could not find anything in the Internet...",0.43,0.0,0.07,0.0,0.12,0.01
This is absolutely unacceptable.,62.02,1.03,18.97,0.72,14.55,1.97
Medical staff had police uniforms on can someone explain that,3.29,0.11,0.89,0.11,1.24,0.31
"The ""Bro"" guy is a gddam American hero. You tried, man.",87.28,2.62,49.64,1.41,33.9,4.1
That moment when you need to call emergency services on the emergency services,2.93,0.09,0.78,0.09,1.09,0.24
"This is just pure evil he didn't deserve to die what if it was one of their family members the would want justice
WHY WOULD ANYONE BE SO CRUEL!",0.87,0.01,0.19,0.01,0.24,0.03
"This is brutal. How you are doing this thing? He was clearly unconscious and the cop kept cutting the blood from his carotid artery, I hope this scumbag gets struck by karma.",2.81,0.08,0.75,0.08,1.08,0.24
Liyizinja,8.66,0.75,3.0,0.76,3.78,1.46
"Keep sharing the truth, sounds like they are aiming for a cover up.",3.25,0.11,0.87,0.11,1.21,0.3
"I don't know what hit sickened me more: Floyd's dying words, or the fact that they still didn't let him up after he said them. I feel like humanity has hit rock-bottom.",92.24,1.63,66.28,0.32,46.86,1.83
"I know this stance that the officer used, it's used by an officer to efficiently pin down a resisting target, but if he's unresponsive or injured, you release the pose, obviously the office refused to do that because he is racist, which sparked outrage.",6.76,0.0,0.55,0.0,0.63,0.02
I hope society holds prejudice against the families of these cops.,28.51,0.62,7.54,0.44,7.73,1.18
They should just had taken Floyd under arrest. Killing him was definitely not right.,1.64,0.03,0.39,0.03,0.59,0.11
What looks like he died right there on that ground..if these officers get away that's what they would use the time frame he died..there is a glitch in the report..my God..what a death that young man got..🤔🤔,2.42,0.06,0.61,0.05,0.86,0.17
They state that Floyd died in the emergency room? There is no way that is true. Floyd had no pulse even before Chauvin took his knee off of Floyd. They are trying to protect the police. They are trying to protect murderers.,0.81,0.01,0.16,0.01,0.24,0.03
Bro I just wish Martin Luther King was still alive man,3.16,0.11,0.88,0.11,1.23,0.29
This is awful heartbreaking to watch why so meny police!!  George wasn't putting up a fight or struggling then to handle him like this and murdering him discussing poor man and my heart gos out to his family. Rest in peace George 💔🌷,1.39,0.02,0.28,0.02,0.44,0.07
If it wasn't trend they were going to drop charges nxa! We must attack them,1.77,0.03,0.39,0.03,0.57,0.1
There is never peace in this world,0.88,0.01,0.16,0.01,0.25,0.03
They killed him -_- evidence is right there,0.39,0.0,0.06,0.0,0.11,0.01
Thunder bananas the answer is thousands upon thousands,1.39,0.02,0.3,0.02,0.45,0.07
Let's just think about how these police men were actually fit for the job in someone's mind.,1.28,0.02,0.27,0.02,0.43,0.06
"R. I. P  from Nigeria 🇳🇬 😭😭😭
Because we're black in complexion doesn't makes us less humans. 
This is absolute brutality",9.1,0.43,2.58,0.41,3.29,0.95
The officer that killed him should be in jail right now,0.51,0.0,0.08,0.0,0.13,0.01
WHAT IS HIS PROBLEM HE WAS LITTERALLY SAYINGP PLEASE MAN I CANT BREATH Oh my gosh what has society come too. May you rest is piece George floyd😥😥😭😭😭,75.13,0.18,28.84,0.07,13.13,0.44
That guy was a smash hole,82.51,1.22,38.4,0.64,24.08,2.31
"It's making me cry, how brutally the policeman murdered him :(",3.25,0.11,0.89,0.11,1.25,0.31
George floyd pain is our tears.. Rest in peace sir..,0.51,0.0,0.08,0.0,0.14,0.01
More needs to be dont about the police in America,1.33,0.02,0.27,0.02,0.41,0.06
What did he even do to get arrested?,4.36,0.19,1.25,0.19,1.69,0.48
The police guy who killed floyed his wife broke up with him🥳,63.33,0.42,22.63,0.23,12.58,1.04
"Why would someone do that every lives matter
The guy who pinned him with his neck deserve to be sent at prison!",67.49,0.47,24.17,0.24,13.16,0.97
This ENTIRE VIDEO isn't even 8 minutes long. That must have felt like an ETERNITY.,15.16,0.48,3.98,0.46,4.18,1.16
"That officer killed George, absolutely execution!
The officer must pay for his ""mistake""!",21.54,0.12,3.97,0.1,2.99,0.37
Hey stranger some police officers are sometimes racist ok always racist,98.63,7.55,90.52,1.42,76.92,5.68
Man I can't breath. :'(  So painful to watch him killed so brutally. No humanity. Just beacause he is black. :' ( so heartbreaking. What could be more bigger crime than this commited by these inhumane police officers?,0.74,0.01,0.15,0.01,0.24,0.03
"you call for a medic and keep your knee on his throat the WHOLE TIME!!! until the arrive, park and get OUT the Ambulance",6.04,0.16,1.57,0.14,1.95,0.4
Knee on neck for 8min!!! Yet if the crowd would've.helped and jumped the police they would've been wrong....SMH....Yet they wonder why people are fighting them back now and reluctant to be pulled over...,0.6,0.0,0.11,0.0,0.18,0.02
This is just bad,3.89,0.14,1.02,0.14,1.39,0.34
"Please please,I can’t breath.and you are  still on his neck you wonder what these cops were looking for",0.35,0.0,0.05,0.0,0.08,0.01
George Floyd I love him so much RIL😇,3.39,0.11,0.92,0.12,1.28,0.33
Absolutely abhorrent that a man died in this way! And all for twenty stinking dollars! I hope the officers involved get what's coming to them!,23.27,0.05,3.47,0.03,2.97,0.18
"This is not ok. They took that man's life for good and they knew exactly what they were doing. He had a family, a life for goodness sake. They fact that they took everything from his is UNACCEPTABLE. Period. This is not ok.",0.39,0.0,0.06,0.0,0.11,0.01
✊🏻 WE  ✊🏼 ARE  ✊🏽 HUMANS ✊🏾 TOO ✊🏿,6.76,0.45,2.14,0.45,2.8,0.96
I bet you that the cop is gonna say “ I didn’t know he couldn’t breathe!!,6.5,0.41,2.09,0.42,2.67,0.87
He couldn’t breathe bc he was overdosed on fentanyl. George Floyd died from a drug overdose this will be found to be true in court. All officers will walk.,1.89,0.03,0.43,0.03,0.64,0.11
I can't believe this sooo sad,2.06,0.05,0.5,0.04,0.73,0.14
"“Please man I can’t breathe”
....and they just kept on ignoring!!! This is A NO..NOOOO!!!",7.22,0.53,2.43,0.53,3.03,1.09
"I have never seen EMS roll up on someone called as ""unresponsive,"" with no pulse and waste time picking them up and loading them into an ambulance without checking for a pulse, rolling them over and performing CPR, and acting immediately. ANyone an EMT/Paramedic want to answer WTF happened here?",9.79,0.05,1.77,0.04,1.82,0.18
"If he’s not moving, that means he is dying bro",1.56,0.02,0.33,0.02,0.5,0.08
"How would he have been a threat to all the officers, with his handcuffs on and being surrounded?",1.94,0.04,0.46,0.04,0.66,0.12
Dit is MOORD DOOR DE POLITIEAGENT VEROORZAAKT!!😣😯😫😡😠😨😢😭😢😭😭😭😭NIKS MEER OF MINDER😈👹👺💀,4.5,0.2,1.29,0.19,1.73,0.47
Whoever is filming deserves some punishment for literally doing nothing about it.,11.39,0.17,2.66,0.17,2.41,0.48
"Why has 2020 like this? We aren’t even half way there, and there’s been bush fires, people wanting to start ww3, coronavirus, a new insect in America that kills you, and now this? It’s awful. People shouldn’t be treated like that, everyone is beautiful no matter what colour they are.",0.81,0.0,0.11,0.0,0.16,0.01
Shame on police instead of saving life he killed him 😔,3.77,0.13,1.0,0.13,1.38,0.34
I can’t imagine the terror he felt as he was begging please please. And calling his mom. My heart is broken In a million pieces,0.33,0.0,0.05,0.0,0.08,0.01
so after he passed out the officer still puts his knees on his neck wtf,1.48,0.02,0.33,0.02,0.5,0.09
"why is there no EMT logo on the sheriff uniform in WA emt uniform is blue with big letters on the back they performed 0 first aid and WHY CALL AN AMBULANCE IN THE FIRST 2 MINUTES AND WAIT AN EXTRA 6 MINUTES TO GET THERE ""THEY ARE FAST "" IF HE WAS RESISTING ARREST HOW HARD WAS IT FOR FOR GROWN MAN TO THROW THEM IN THE BACK OF THE CAR THIS DOSENT ADD UP",0.73,0.01,0.13,0.01,0.2,0.02
